full_posRef,next_move_Ref,nb_W,nb_L,nb_D
1b235c45d45e46f4g5h67_2a2c23d3e57f567g67h5,h6e3,1,0,0
1b235c45d456e34f4g5h7_2a2c23d3e567f567g7h5,g5d2,1,0,0
1b235c3d345e234f5g5h5_3b4c245d6e567f46g7,f5c2,1,0,0
1b235c36d356e678f7g4_2b46c45d4e245f56g56,e8e5,1,0,0
1b235c35d356e378f5g4_1c4d4e456f467g568h67,b3b4,1,0,0
1b235c35d26e8f78g67h5_1c24d345e345f3456h7,f4f7,1,0,0
1b235c345d457e348f7_5e67f56g5678h7,b5e5,1,0,0
1b235c345d4567e34f7_5e56f56g5678h7,d6e7,1,0,0
1b235c345d345e4f345_4a1e56f678g567h8,b3e6,1,0,0
1b235c345d345e234f5_4a1e567f67g567h8,e2f4,1,0,0
1b235c345d345e234f5_4a1e567f67g567h8,f5c2,1,0,0
1b235c345d345e234f4_4a1e567f56g57h78,f4d2,1,0,0
1b235c3456d56e47f4h6_3b4d4e3568f567g58,d6d4,1,0,0
1b235c3456d45e47f4h6_3b4d3e3568f567g57,b3e6,1,0,0
1b235c3456d456e678_4a5e345f56g567h5,b2b4,1,0,0
1b235c3456d456e4f4g4_3a3e356f3567g578,d6d3,1,0,0
1b235c3456d456e47f8_4a5e35f456g567h5,b3e6,1,0,0
1b235c3456d356e34g6_2d4e56f456789g589,d3a3,1,0,0
1b235c3456d345e4f4g4_3a3e356f3567g567,c5c2,1,0,0
1b235c3456d3456e57_2a12b6d27e4f4g467h67,g4d4,1,0,0
1b235c23d567e567f7g4_2b46c45d234e34f56g5,b5a4,1,0,0
1b235c236d56e567f7g4_2b46c45d34e234f56g5,c6d7,1,0,0
1b235c235d46e237f6g8_1c4d35e456f457g47h67,e3d2,1,0,0
1b235c235d35e46f7g6h5_2b1c14d24e25f56g578,c3c1,1,0,0
1b235c235d345e345f3_3a1c4d6e678f67g78h8,e4c4,1,0,0
1b235c2345d45e67f4g4_3a3d36e345f567g57,f4g3,1,0,0
1b235c2345d45e2478_3a1d236e35f456g57,e8e6,1,0,0
1b235c2345d45e2467_3a1d236e35f356g57,c3a1,1,0,0
1b235c2345d345e6f7g8_3a3d6e457f456g457,b3b4,1,0,0
1b235c2345d345e34f3_3a1b4d6e567f67g78h8,e4b4,1,0,0
1b235c2345d345e234_4a1e567f567g57h8,b3e6,1,0,0
1b235c23456d34e4f4g4_3a3d5e356f3567g67,d3d5,1,0,0
1b235c23456d345f4g4_3a3d6e3456f3567g7,b5e5,1,0,0
1b235c23456d3456g6_2e5679f56789g578,b2b4,1,0,0
1b234d347e57f56g56h6_4b56c456d56e689,e6b3,1,0,0
1b234d347e57f567g56_4b56c456d56e689,e6b3,1,0,0
1b234d234567f567g8_3a2c234e123456h5,f7f4,1,0,0
1b234d234567f4g567_3a2c234e123456f3,g7f5,1,0,0
1b234d234567f456g8_3a2c234e123456g5,g8g7,1,0,0
1b234d234567f456g7_3a2c234e123456g4,f6g5,1,0,0
1b234d234567f456g5_3a2c234e123456g3,f6f3,1,0,0
1b234d234567f34g6h6_3a2c234e123456g5,g6f5,1,0,0
1b234d234567f345h6_3a2c234e123456g6,h6g5,1,0,0
1b234d234567f345g5_3a2c234e123456g4,f5h6,1,0,0
1b234d234567f345g5_3a2c234e123456f6,g5g4,1,0,0
1b234d234567f345g4_3a2c234e123456g6,g4e2,1,0,0
1b234d234567e2f345_3a2c234d1e13456g7,f3d1,1,0,0
1b234c6d23456f456g4_3a4c345e456f789h8,b2b5,1,0,0
1b234c5d4e23f46g56h56_2c6d567e56f35g48h79,h5h7,1,0,0
1b234c5d4e23f456g7h56_2c6d67e456f3g568h89,b4d5,1,0,0
1b234c5d24e23f46g6h56_2c6d567e456f3g48h79,d2g5,1,0,0
1b234c56d27e237f7g4h8_1c34d3456e456f358h6,e6e3,1,0,0
1b234c4d45f36g67h568_2c3d123e45f245g45i6,b2b5,1,0,0
1b234c4d4567e5f568g6_2c5d3e3467f47g4578,b2c3,1,0,0
1b234c4d35e23f5g7h567_2b56c236d24e56f78g8,b4d4,1,0,0
1b234c4d34f58g56h578_2c5d567e56f679g78i8,b2a2,1,0,0
1b234c45d456e567f6g7_3d23e234f345g45h5,b2c3,1,0,0
1b234c45d456e567f67_4e234f345g345h5,g3f2,1,0,0
1b234c45d456e24f56g6_3c36d7e1567g45h56,b3e6,1,0,0
1b234c45d4567e567f6_4e234f345g456h5,g6g3,1,0,0
1b234c45d34e3f367g6h7_2a2c2d2e456f245g457,e6e3,1,0,0
1b234c45d345e24f56g6_3c36d6e1678g45h56,d3d6,1,0,0
1b234c45d234e56f45g6_2a2c236d67e28f23g57,b2b5,1,0,0
1b234c3d35e3f567g5h57_3a13c25d1e45f4g78h8,a3a4,1,0,0
1b234c35d256e57f78g5_2b5c246d34e346f6g6h7,h7f5,1,0,0
1b234c356d456e567f8_3b5c4e234f345g45h5,b2b5,1,0,0
1b234c34d567e45f67g6_2a4c56d23e28f289g57,b2d4,1,0,0
1b234c34d45f5g456h67_2a5d3e4567f467g78i6,d5d3,1,0,0
1b234c34d45f5g4567h6_2a5d37e4567f467g8i6,g7h7,1,0,0
1b234c34d456e567f6g7_3d123e234f45g45h5,c3c5,1,0,0
1b234c34d34f5g456h67_2a5d25e4567f467g7i6,g4h5,1,0,0
1b234c34d34e2f367g6h7_2a2c2d2e345f245g457,f2g3,1,0,0
1b234c34d234e346f48_4d56e578f567g67,f8g8,1,0,0
1b234c346d24e2345f4_2b5c2d3e7f56g45678h7,b2b5,1,0,0
1b234c345d67e234g45_1d345e567f34567g67,d6a3,1,0,0
1b234c345d45e67f78g8_3b1d3e234f345g45h5,b3b1,1,0,0
1b234c345d456e567g7_3d123e234f345g45,c5f5,1,0,0
1b234c345d4567e567_4e234f345g345h5,g3g6,1,0,0
1b234c345d4567e567_3c7e234f3456g45h5,f6g6,1,0,0
1b234c345d3e23f45g68_3a4c2d456e567f6g57,b4d4,1,0,0
1b234c345d345e3567_4d12e4f456g456h5,g6d3,1,0,0
1b234c3456d56e56f6g7_4e4f457g456h457,b2d4,1,0,0
1b234c3456d456e56f6_4e4f457g4567h45,d4g7,1,0,0
1b234c2d456e467f3g6h5_2c345d23e25f45g345,d6d3,1,0,0
1b234c2d345e467f3g6h5_2c345d1e235f45g345,b3a3,1,0,0
1b234c256d457e567f7_2b5c1d6e4f56g4567h68,b2c4,1,0,0
1b234c24d56e345f56g5_2a3b5c136d34e678f9g6,c1d2,1,0,0
1b234c245d57e5678f7_2c16d6e3f56g45678h6,e8c6,1,0,0
1b234c2456d57e567f7_2b5c1d6e4f56g45678h6,c4d4,1,0,0
1b234c235d345e456f3_4a4c467d678e8f45,b4d6,1,0,0
1b234c235d345e345f3_3a1c4e678f678g78h8,b4b5,1,0,0
1b234c234d34e567f38_4a2d7e4f45g567h67,c2a2,1,0,0
1b234c234d345e45f45_4a35b56c567d67e2,d3a3,1,0,0
1b234c234d3456e5f38_4a2d7e4f45g57h67i6,d5e7,1,0,0
1b234c2346d345e8f7g7_2a2b1d678e67f589g45,g5f6,1,0,0
1b234c2345d45e3567_4d23e4f456g456h5,d3d1,1,0,0
1b234c2345d456e357_4d23e4f345g456h5,f3f6,1,0,0
1b234c2345d456e356_4d123e4f456g45h5,f6g6,1,0,0
1b234c2345d345e78g6_2d6e1345f3456g457,d6e6,1,0,0
1b234c2345d345e234_5e567f567g567,b4b5,1,0,0
1b234c2345d345e234_4a1e567f56g5678,d5d2,1,0,0
1b234c2345d3456e7g6_2e456f23456g3457,b3e6,1,0,0
1b234c2345d34567g6_2e13456f3456g457,g5d5,1,0,0
1b234c23456d3456g6_2e345f23456g3457,c6e6,1,0,0
1b2345c35d35e3f48g56_2c4d4678e567f567g8,g5d2,1,0,0
1b2345c34d24e37f8g4h5_2a4c25d356e256f6g67,c4c2,1,0,0
1b2345c345d35e3h568_2a23d24e456f568g59,d3a3,1,0,0
1b2345c345d24e367f4_5d5e45f56g67h56,e3d3,1,0,0
1b2345c345d234e67f4_5e45f56g567h56,b3d5,1,0,0
1b2345c23d4e23f46g5h7_1c456d35e456f58g678,c3a3,1,0,0
1b2345c234d456e357_4d23e4f345g456h6,h6h5,1,0,0
1b2345c2345d345e3f3_4a1e567f567g57h8,b3e6,1,0,0
1b2345c2345d345e3f3_3a14e567f67g678h8,d4a4,1,0,0
1b2345c2345d3456e5_2a45b1c6d2e6f7g568h67,c6d7,1,0,0
1b2345c2345d2345e3_5e56f567g567h7,b4e4,1,0,0
1b2345c2345d2345e3_4a1e567f567g567,c3a1,1,0,0
1a3d4f34567g4567h57_4b24c345d35e456,f3e3,1,0,0
1a3d4e2f4567g4567h57_4b24c345d35e345,h7e4,1,0,0
1a3d4e24f4567g4567h5_4b234c2345d35e5,f4c4,1,0,0
1a3d256e4568f346g47_2b4c24d134e27f5g56h6,h6f4,1,0,0
1a3d256e245f4g45h567_2b4e37f23567g367i6,e7h7,1,0,0
1a3d2456e34568f36g4_2b4c234d13e27f45g56,g6h6,1,0,0
1a3c4d4e345f567g457h5_4b125c235d356e6,f6c3,1,0,0
1a3c4d4e24f567g4567h5_4a4b23c235d356e5,g6d3,1,0,0
1a3c4d4e234f567g457h5_4a4b12c235d356e5,e2e5,1,0,0
1a3c4d345e3578f567g8_2b2456c5e46f348g47,a3b3,1,0,0
1a3c4d245e34f56g4567_2a4b34c3d67e2567f7h7,e4b4,1,0,0
1a3c4d2346e456f567g4_2c3d5f234g56h567i68,g6g4,1,0,0
1a3c3d3567e456f456g7_2c5d4f789g56h678i68,g5g7,1,0,0
1a3c3d345e456f467g36_2a2b3456c456d78e3f5,d7a4,1,0,0
1a3c3d3456e456f467g3_3a245b345c457e3f5,c7c6,1,0,0
1a3c3d3456e456f467g3_2a24b3456c456d8e3f5,d8c7,1,0,0
1a3c3d2456e34568f3g4_2b24c24d13e27f45g5h6,f5f3,1,0,0
1a3c3d23e3456f4g4567_3b24c45d456e2f56h5,a3b3,1,0,0
1a3c34d4e345f57g457h5_4a2b135c25d356e6,c4c2,1,0,0
1a3c34d345e456f456g4_2b34c7d27e27f38g58h6,e6b3,1,0,0
1a3c34d3456e3567f48_2a24b45c5e24f3579g7,a3b3,1,0,0
1a3c345d45e456f46g47_2b34c6d236e7f258g58,g7g6,1,0,0
1a3c345d45e456f46g46_2b34c6d236e27f58g58,g6d6,1,0,0
1a3c345d345e456f57g8_2b34c1d267e38f36g47,d3d6,1,0,0
1a3c345d345e456f46g4_2b34c7d27e27f358g58,c5f5,1,0,0
1a3c345d23f5g456h678_1b345d456e2345f37h5,f7f6,1,0,0
1a3c2d56e245f4g45h567_2b4d7e37f2356g367i6,d7f7,1,0,0
1a3c2d367e456f456g57_2c45f789g6h5678i68,c5d4,1,0,0
1a3c2d3567e456f456g7_2c5d4f789g6h5678i68,h5g5,1,0,0
1a3c2d347e2456f78g58_2b3c46d568e38f56g6h6,h6g7,1,0,0
1a3c26d36e456f456g57_2c5d5f789g6h5678i68,d5c4,1,0,0
1a3c25d3456e456f47g9_3a24b1234c134e7f6,b1a1,1,0,0
1a3c24d345e234f46g9h6_2c3e567f57g568h578,g8d5,1,0,0
1a3c246d256e3456f56_5a245b2345c3d4,c3a3,1,0,0
1a3c246d23e467f7g78h7_4b346c35d4567e5,a3a2,1,0,0
1a3c246d234e3456f67_2b4c35d567f45g567h7,a3b3,1,0,0
1a3c245d4567e56f7g67_2b13456c36d8f56h78,e5c3,1,0,0
1a3c23d4e345f57g457h5_4a12b135c5d356e6,e5b2,1,0,0
1a3c235d45e456f46g47_2b34c6d236e7f259g58,c2c4,1,0,0
1a3c2346d2345e34f4g6_3b23456c1f356h56,e4b4,1,0,0
1a3c2345d456e68f7g67_2b12346c6d78f56h78,e8e7,1,0,0
1a3c2345d456e67f7g67_2b12346c6d7e8f56h78,g7d7,1,0,0
1a3c2345d4567e67f7g6_2b12346c67f568h78,c3c6,1,0,0
1a3b3e5678f3456g56h6_2a2b4c2d23e4f78g4h7i56,e7e4,1,0,0
1a3b3e4568f4567g56h6_3a2b4c23d346e7g4h7i5,f4d4,1,0,0
1a3b3e4568f3567g56h6_3a2b4c23d34e7f8g4h7i5,f3f4,1,0,0
1a3b3e4568f3456g56h6_2a2b4c23d23f78g4h7i56,g6i6,1,0,0
1a3b3e35678f3456g56_2a2b4c2d23e4g478h7i56,e3h6,1,0,0
1a3b3d4e4568f567g56h6_3a2b4c2345d36g4h7i5,f6c3,1,0,0
1a3b3d345e345f357g8h8_5e678f468g567,g5g8,1,0,0
1a3b3d2e234f3456g57h5_3c345d345e567g36,a3b2,1,0,0
1a3b3d234e345f35g45h6_3d5e278f4678g67h8,a3c3,1,0,0
1a3b3c5d45e7f567g4h678_4b4c2d2e45f4g5678,f7f4,1,0,0
1a3b3c5d45e7f456g4h678_4b4c2d2e45f37g567,h6i7,1,0,0
1a3b3c5d45e45f56g567h7_3b12c2d1236e37f49,d6f8,1,0,0
1a3b3c5d345e345f37g8h8_5d67e6f4568g67,d6e8,1,0,0
1a3b3c5d345e234f37g78_5d67e56f4568g6,e5g7,1,0,0
1a3b3c56d67e57f4567g5_2d458e46f8g467h78i5,d6d8,1,0,0
1a3b3c56d56e57f4567g5_2c34d7e46f8g467h78i5,d5d7,1,0,0
1a3b3c4d45e456f57g6h56_2b2c135d2e7f68g78h7i8,g8g6,1,0,0
1a3b3c4d456f56g4567h7_2a4b25c357d3e56f7g8h8,h7e4,1,0,0
1a3b3c4d456e4f56g4567_2b245c357d3e56f7g8h8,e4b4,1,0,0
1a3b3c4d345e456f57h56_2b2c13d26e7f68g678h7,d6c5,1,0,0
1a3b3c45d5e5f367g367h8_2a5b24c236d46e7f29g4,f7e6,1,0,0
1a3b3c45d5e56f36g367h8_2a5b24c236d46e7f28g4,g6d6,1,0,0
1a3b3c45d56e56f36g37h8_2a5b246c23d47e7f28g4,a3c3,1,0,0
1a3b3c45d4567e3456f6_1b2c6d3e78f357g4578h8,f3h5,1,0,0
1a3b3c45d345e23f37g78_5d67e467f568g6,e7e5,1,0,0
1a3b3c45d234e23f37g78_5d56e467f68g5h6,h6f5,1,0,0
1a3b3c456d4567e5678_4f456g567h5678,f4i7,1,0,0
1a3b3c456d24567e7f7g6_3b1245c27f568h78,d4b4,1,0,0
1a3b3c3d6e456f345g45h5_2b4c246d45e7f678g67,g5d5,1,0,0
1a3b3c3d5e345f345g45h5_2b4c246d34e6f678g67,e3e6,1,0,0
1a3b3c3d56e456f345g4h5_2b4c456d34e7f678g67,a3d3,1,0,0
1a3b3c3d45e56f56g567h6_3b56c6d678e37f237,f3e4,1,0,0
1a3b3c3d3e37f37g47h678_2a2d45e45f456g356i8,e3g3,1,0,0
1a3b3c3d345e8f567g6h78_2b24c245d2e3456f3g4,f6f4,1,0,0
1a3b3c3d267e46f457g45_2a2b24c245d45e57f6g3,g3f3,1,0,0
1a3b3c3d267e456f457g6_2a2b245c245d45e7f6g4,b5e5,1,0,0
1a3b3c3d23e456f4g4567_3b25c45d456e2f56h5,b3e3,1,0,0
1a3b3c36d456e567f7g4h7_1c4d3e234f3456g567h8,c6c5,1,0,0
1a3b3c35d456e567f7h7i7_1c4d3e4f3456g4567h68,c5f5,1,0,0
1a3b3c35d456e567f7h57_1c4d3e34f3456g4567h8,h5h6,1,0,0
1a3b3c356d3456e4567_3f5678g5678h568,a3c4,1,0,0
1a3b3c34d35e345f56g4h5_2a2b4c7d27e7f348g58h4,c4a2,1,0,0
1a3b3c34d345e45f456h5_2a2b4c7d27e7f38g458h6,d4g4,1,0,0
1a3b3c34d3456e57f468_2a24b45c5d2e34f79g57,f6e6,1,0,0
1a3b3c34d3456e567f48_2a24b45c5e234f79g57,b3e3,1,0,0
1a3b3c346d3457e5f468_2a24b45c5d2e34f9g578,c6e7,1,0,0
1a3b3c345d45e35f46g7h6_1e4678f578g4568h58,h6h7,1,0,0
1a3b3c345d4567e3456_1b2c6d3e78f3578g4578,f8f6,1,0,0
1a3b3c3456d3456e456_3f568g5678h5678,c4f7,1,0,0
1a3b3c2d24e35f45g467h7_3b46c45d36e246f3g5,c2e2,1,0,0
1a3b3c26d234e2f5g56h67_4c134d5e3457f7h5,h7h5,1,0,0
1a3b3c26d234e2f5g56h56_4c134d5e3457f7g4,f5f4,1,0,0
1a3b3c26d234e2f4g56h56_4c134e3457f57g4,g6g4,1,0,0
1a3b3c26d234e2f4g45h56_4c134e3457f357,b3b2,1,0,0
1a3b3c24d34e234f46g8h6_2c3e567f578g567h57,e6g8,1,0,0
1a3b3c24d34e234f46g8h6_2c3d6e567f57g4567h7,g4h5,1,0,0
1a3b3c24d34e234f468h6_2c3d6e567f57g567h57,d6f8,1,0,0
1a3b3c24d345e456f7h67_2b1c13d26e78f568g67,b1b2,1,0,0
1a3b3c24d345e456f7h56_2b2c13d26e78f568g67,e8g8,1,0,0
1a3b3c246d57e4f345g45_1b4c5d46e567f678g78h8,g4g6,1,0,0
1a3b3c23d46e456f5678_2a1b4c45d5e12g56h6i68,f7f4,1,0,0
1a3b3c23d46e456f4568_2a1b4c45d5e12g56h5i58,f4c4,1,0,0
1a3b3c235e57f5g678h56_2d3456e3468f4678,f4c4,1,0,0
1a3b3c235e57f5g4678h6_2d23456e3468f678,d2f4,1,0,0
1a3b3c234d46e456f568_2a15b5c5d5e12g56h5i58,c2c5,1,0,0
1a3b3c2346d3456e456_3f5678g5678h568,c2c5,1,0,0
1a3b3c123d7e5f7g567h7i7_2c45d456e346f456g4,e3g5,1,0,0
1a3b34c4d4e567f57g5h78_2c6d58e234f346g467,h8g8,1,0,0
1a3b34c4d35e35f46g47h6_2c2d14e4678f578g58,a3c5,1,0,0
1a3b34c4d345f56g5678_2b25c1235d6e45f4g4h5,f6f4,1,0,0
1a3b34c4d345f45g5678_2b25c1235d6e345g4h5,g5e3,1,0,0
1a3b34c4d345e35f3456_3d2e246f8g45h456i5,d4d2,1,0,0
1a3b34c4d345e2f45g678_2b25c1235d26e34g4h5,g6e5,1,0,0
1a3b34c4d345e26f46g78_2b25c1235d26e45g4h5,f4f5,1,0,0
1a3b34c4d235e35f3456_3c1e246f8g45h456i5,d2g5,1,0,0
1a3b34c3e46f56g567h58_2b2c45d3456e57f4g4i6,a3d3,1,0,0
1a3b34c3d357e345f567_1c124d24e678f8g45h56,d5g5,1,0,0
1a3b34c34d56e78f48g45_5d234e34f35g7h7,d2d5,1,0,0
1a3b34c34d345e35f345_3d2e246f8g345h456,c3f6,1,0,0
1a3b34c345d2345e5f67_2a2c2e246f3458g467,d5a2,1,0,0
1a3b34c24d67e57f4567_2c56d25e2346g8h67i9,d7d5,1,0,0
1a3b34c24d345e56f7g6h6_2b1c13d26e478f568g7,e4g6,1,0,0
1a3b34c24d3456e456f5_3b2c16f67g678h89i9,a3c3,1,0,0
1a3b34c245d345e6f7g6h6_2b1c13d26e4578f68g8,g8g7,1,0,0
1a3b34c23d56e57f4567_2c45d24e2346g8h67i9,d6d4,1,0,0
1a3b34c23d46e5f4567g6_2c45d3e346f3g58h67i9,d6d5,1,0,0
1a3b34c23d45e5f4567g6_2c45d3e346f3g58h56i9,d5d3,1,0,0
1a3b34c23d45e57f4567_2c45d23e346f3g8h67i9,e7d6,1,0,0
1a3b34c23d456e5f467g6_2c45d2e346f35g8h67i9,d5f5,1,0,0
1a3b34c23d34e5f4567g6_2c45d2e346g458h56i9,b3e3,1,0,0
1a3b34c234d346e456g6_1c6d5e237f4567g457h7,a3c5,1,0,0
1a3b34c234d234e5f6g67_2d568e3467f458g4h7,a3a2,1,0,0
1a3b34c234d2347e3f4g6_3a2b256c6d1f356h56,d4d1,1,0,0
1a3b34c2345d345e345_2b2e678f567g678h78,b4b2,1,0,0
1a3b34c1345d45f5g67h8_2c2d38e4567f468h5i8,d5d3,1,0,0
1a3b34c1345d34f5g67h8_2c2d28e4567f468g4i8,g7g5,1,0,0
1a3b34c1345d34f5g56h8_2c2d28e4567f468g4h7,h8g7,1,0,0
1a3b34c1345d34f5g567_2d28e24567f468g4h7,g5e5,1,0,0
1a3b34c1345d34e5f5g67_2d2568e2467f48g4h7,c5c2,1,0,0
1a3b34c1234d34e5f5g67_2d568e3467f348g4h7,c1d2,1,0,0
1a3b2d236e7f578g567h5_2b34c1245d45e345f6,b2c3,1,0,0
1a3b2d236e7f578g567h5_2b34c12345d45e345,f7f6,1,0,0
1a3b2d236e6f578g567h5_2b134c245d45e345f6,e6e7,1,0,0
1a3b2d236e6f4678g46h5_2b134c2345d45e345,g4f5,1,0,0
1a3b2d236e6f34678g46_2a4b13c2345d45e345,f3h5,1,0,0
1a3b2d236e246f3678g6_2a4b134c2345d45e35,e2g4,1,0,0
1a3b2c6d36e456f567g57_2c3d4f4g346h5678i68,g4f2,1,0,0
1a3b2c6d356e46f567g7h8_2d4e5f4g34568h56i68,h5h7,1,0,0
1a3b2c6d356e46f567g7h7_2d4e5g34568h56i678,i7f4,1,0,0
1a3b2c6d356e467f567g7_2d4e5f3g34568h567i8,f3i6,1,0,0
1a3b2c6d356e456f567g7_2c3d4f4g34568h67i68,g8h8,1,0,0
1a3b2c567e6f38g4678h8_3b5d6e457f2567g5h7,e4d4,1,0,0
1a3b2c567e6f348g678h8_3b5d46e57f2567g5h7,f2e2,1,0,0
1a3b2c567e6f348g567h8_3b5d46e257f567g4h7,f7f4,1,0,0
1a3b2c4e34f356g45689_5b45c35d345e2f4,b5b3,1,0,0
1a3b2c4e345f56g45689_5b345c35d345f4,b3e3,1,0,0
1a3b2c4d456e4567f56h6_2a12b345c235d7g567,e6b3,1,0,0
1a3b2c4d3e34f356g4589_5b34c235d45e2f4,d5d3,1,0,0
1a3b2c4d2e23f356g4589_5b34c235d34e1f4,b3e3,1,0,0
1a3b2c46d356e467f56g7_2d4e5f237g456h567i8,f2g3,1,0,0
1a3b2c46d356e467f45g7_2d4e5f236g456h5678,h8i8,1,0,0
1a3b2c46d23e46f78g78h7_4b345c357d4567,f8e7,1,0,0
1a3b2c46d23e467f7g78h7_4b3456c35d4567,b2c2,1,0,0
1a3b2c46d2345e348f7g5_2b3456c2357d67e56,a3a2,1,0,0
1a3b2c356d45e46f57g58_2b34c2d3e3578f269g4,b2e5,1,0,0
1a3b2c3456d3456e567_2b4e234f456g4567h5,d3b3,1,0,0
1a3b2c2d56e456f45g47h5_5a4b345c3456e7,f5c5,1,0,0
1a3b2c2d2e246f3678g68_2a4b14c3456d345e35,g8d5,1,0,0
1a3b2c2d26e246f3678g6_2a4b134c3456d45e35,d2d3,1,0,0
1a3b2c26d234e2f4g45h56_4c134e3456f356,b2b1,1,0,0
1a3b2c24d456e357f4g45_5c3d3e46f567g67,a3b4,1,0,0
1a3b2c24d24e46f46g46h7_3b136c36d356e58f5,a3b4,1,0,0
1a3b2c246d356e467f5g7_2d4e5f2367g456h568,f7f5,1,0,0
1a3b25c24d356e467f5g7_2d4e5f23467g456h58,f4h6,1,0,0
1a3b25c146d5f4567g6h6_2a2b3c235d1234e45f3,a3b4,1,0,0
1a3b24d2345e467f3g6h5_2c234e1235f45g345,a3c5,1,0,0
1a3b24c456d45e346f6h6_2e59f578g5678h578,g5d5,1,0,0
1a3b24c3d4e23f345g456_1b3c245d35e4567f67g7,a3c5,1,0,0
1a3b24c3d2345e234f5g3_3a12c45d678e567f4,b4b3,1,0,0
1a3b24c356d2347e348_1b35c4d56e56f568g579,d7e7,1,0,0
1a3b24c3567d45e67f7h8_4a5f568g56789h7,d5g8,1,0,0
1a3b24c3567d45e56f7h8_4a5e7f568g5679h7,e5e7,1,0,0
1a3b24c345d47e37f68g8_2a1b5c2d238e2456f4g4,f8d6,1,0,0
1a3b24c345d467e37f6g8_2b15c2d238e2456f4g4,d7d5,1,0,0
1a3b24c345d456e37f6g8_2b15c2d1238e456f4g4,c5c2,1,0,0
1a3b24c23d34e234f347_2e567f56g567h567i5,a3c4,1,0,0
1a3b24c235d234e23f5g5_5d567e456f67g7,a3d6,1,0,0
1a3b24c234d456e27f6g8_2b15c1d1238e345f4g4,c3c1,1,0,0
1a3b24c234d34e234f37_2e567f56g4567h467,c4f4,1,0,0
1a3b24c2345d45e578h6_2e46f234567g4567,c5f5,1,0,0
1a3b24c1d345e467f3g6h5_2c234d1e235f45g345,c1d2,1,0,0
1a3b23c6d456e3f5g56h67_4c345d3e4567f7h5,d6d3,1,0,0
1a3b23c6d456e3f56g5h7i7_4c345d37e567f7h6,h7g6,1,0,0
1a3b23c6d456e3f56g56i7_4c345d37e456f7h6,i7h7,1,0,0
1a3b23c6d456e3f56g56h7_4c345d3e4567f7h6,f6h6,1,0,0
1a3b23c6d345e2f5g56h67_4c345d2e3457f7h5,d5d2,1,0,0
1a3b23c6d234e2f5g56h67_4c1345e3457f7h5,b2c2,1,0,0
1a3b23c45d4e345f38g3h6_3b15c6d27e278f7g4h8,d2d3,1,0,0
1a3b23c45d3e5f4g789h7i7_2c6d4567e467f56g56,d4f4,1,0,0
1a3b23c45d3e5f3g789h7i7_2c6d567e467f456g56,d7d4,1,0,0
1a3b23c45d34e345f38h6_2b15c6d27e278f27g4h8,f2g3,1,0,0
1a3b23c456d457e68g7h8_2b4c2d8e3457f567g68,d7d6,1,0,0
1a3b23c456d456e68h78_2b4c2d8e345f567g678,c5e7,1,0,0
1a3b23c3d4e456f35g46h5_1b45c256d3567e3f4g35,d6a3,1,0,0
1a3b23c35d3e5f58g78h7i7_2c6d4567e47f67g56h6,f7f5,1,0,0
1a3b23c35d3e5f4g789h7i7_2c6d4567e47f56g56h6,h6e6,1,0,0
1a3b23c35d256e57f78g5_2b5c246d34e346f56g6,e3f4,1,0,0
1a3b23c35d2567e58f7g5_2b5c246d34e46f456g6,b5b4,1,0,0
1a3b23c34d4f45g56h567_2a2b4c5d356e456f36i9,b2e5,1,0,0
1a3b23c34d45e3f34g45h5_2d36e456f256789g7,f9g8,1,0,0
1a3b23c346d456e567g7_2a4b45c5e4f67g56h56i6,a4a5,1,0,0
1a3b23c345d24f4g45h56_2c2d13e1234f3567g7,c5c2,1,0,0
1a3b23c3456d456e567_2b4e234f45g4567h56,b2b4,1,0,0
1a3b23c3456d3456e57_2b4e2346f456g456h5,b3e6,1,0,0
1a3b23c2d345e34f458g5_2c3d6e567f367g478h4,e7e4,1,0,0
1a3b23c2d345e23f348g5_2c3d6e456f267g478h4,g7f5,1,0,0
1a3b23c24d6e35f467g45_5d345e4f5g67h67,f6d4,1,0,0
1a3b23c24d5e2348f57g6_3a2c56d34e567f6g7h7,c2a2,1,0,0
1a3b23c24d46e35f47g45_5c3d35e4f56g67h7,b3d5,1,0,0
1a3b23c24d345e34f58g5_2c3d67e56f3467g478,d7e7,1,0,0
1a3b23c24d26e35f467g4_5d345e4f5g56h67,d2g5,1,0,0
1a3b23c236d246e7f7g79_2b45c5d5e456f68g68h8,g6d6,1,0,0
1a3b23c234d234e34f5g5_5d567e567f68g7,a3a2,1,0,0
1a3b23c2347e246f678_3c1d34568e35f45g4,g4f3,1,0,0
1a3b23c2347d245e6f5g7_4c5d36e345f367g6,f7f5,1,0,0
1a3b23c2345d345e345_2b1e678f678g678h78,b3b1,1,0,0
1a3b23c135d567e58f7g5_2b4c246d34e46f456g6,c2d2,1,0,0
1a3b23c12d567e567f7g4_2b4c345d234e34f56g5,b2d2,1,0,0
1a3b235c5d345e46f7g6h5_2b4c123d2e25f56g578,e4c2,1,0,0
1a3b235c3d45e234f5g5h5_3b4c245e567f46g67,a3d3,1,0,0
1a3b235c345d2345e2g6_2b1c2d1e4567f568g57,d1e1,1,0,0
1a3b235c3456d56e34g6_2d4e567f456789g58,d6d4,1,0,0
1a3b235c3456d45e23g6_2d3e456f456789g58,b2e5,1,0,0
1a3b235c3456d246e56_3a2c2d35e34f347g56,b5b4,1,0,0
