full_posRef,next_move_Ref,nb_W,nb_L,nb_D
0a12b123c23e5f6g78h79i8_0a4b456c56d5g45h456i56,a4c4,3,3,0
0a2b123c23d4f67g78h78i8_0d2378e234567f2389,g8e6,3,4,1
0a2b123c23d4f67g78h78i8_0d1278e234678f2389,d1d3,3,4,0
0a12b123c23f67g78h78i8_0d1278e123678f2389,e1e4,3,4,0
0a12b123c23e7f67g78h8i8_0c7d1278e23468f2389,c7d6,3,4,0
0a2b123c23d4f67g78h78i8_0d2378e234567f2389,c3b4,3,5,0
0a12b123c23f67g78h78i8_0d2378e234678f2389,h8e5,3,5,0
3b3c235d5e567g678_4d34e234f456g5h5,d3g6,2,0,0
3b2345c2345d345_4e45f456g4567h6,h6e6,2,0,0
3a2b23c34d234e234_4d567e567f567g7,f5f8,2,0,0
3a2b23c234d234e34_4d567e567f567g7,f5f8,2,0,0
0b23c24d5e567f568g67h6_2a2c13d346e2348f47,a2a1,2,0,0
0a2b123d345f56g678h89_0b456c345d6e45f34h46i6,i6g5,2,0,0
0a2b123d345f567g678h8_0b456c345d6e45f34g5h45,g5e3,2,0,0
0a2b123d234f56g678h89_0b456c345d5e45g45h46i6,g5f3,2,0,0
0a2b123c34d4e6f67g7h78i8_0d23578e23457f2389,f3c3,2,0,0
0a2b123c23d4f67g78h78i8_0d2378e234678f2389,h8e5,2,0,0
0a2b123c23d4e7f67g78h8i8_0c6d2368e23468f2389,c6f6,2,0,1
0a2b123c23d4e5f6g78h79i8_0b456c456d5f5g456h456,g7f8,2,0,0
0a24b124c24e5f67g6h68i8_0c6d3468e23468f2389,f2f4,2,0,0
0a23b123c23f6g78h789i8_0d2378e234678f2389,h9f7,2,0,0
0a12b23c23d3f67g78h78i8_0d1278e234567f2389,d8d6,2,0,0
0a12b23c23d3e6f67g7h78i8_0d12578e23457f2389,d1d3,2,0,0
0a12b123d45f56g678h89_0b456c456d6e45f34h46i6,c6c3,2,0,0
0a12b123d45f567g678h8_0b456c345d6e45f34h46i6,f4d3,2,0,0
0a12b123d45e5f6g78h79i8_0b456c456d6f5g456h456,c6c3,2,0,0
0a12b123d45e56g78h79i8_0a4b456c56d6f56g456h45,a4c4,2,0,0
0a12b123d34f56g678h89_0b456c456d5e45g45h46i6,g5f3,2,0,0
0a12b123d34e5f6g78h79i8_0b456c456d5f5g456h456,b3c1,2,0,0
0a12b123d34e5f6g78h79i8_0b456c456d5f5g456h456,h7f7,2,0,0
0a12b123d34e5f6g78h79i8_0a4b456c56d5f5g456h456,h6f6,2,0,0
0a12b123d34e5f67g678h8_0b456c456d5f45g45h45i6,i6f3,2,0,0
0a12b123d34e5f56g78h79_0b456c345d5g456h456i6,d3d5,2,0,0
0a12b123d34e56f7g78h9i8_0b456c456d5f56g456h45,d3d5,2,0,0
0a12b123d345e56f7g7h9i8_0a5b456c456f56g456h45,c6c3,2,0,0
0a12b123c34e45f4g678h9_0d23478e23678f2356,c4d5,2,0,0
0a12b123c23f67g78h89i8_0d1278e2346789f239,h9e6,2,0,0
0a12b123c23f67g78h78i8_0c7d1278e23478f2389,a1d4,2,0,0
0a12b123c23f67g78h78i8_0c6d1278e123678f238,a1d4,2,0,0
0a12b123c23f67g789i89_0a4b456c56d5f5g456h456,c2d4,2,0,0
0a12b123c23f67g678i89_0a4b456c56d5f5g45h456i6,h4g3,2,0,0
0a12b123c23e7f67g78h8i8_0c7d1278e23468f2389,d1d3,2,0,0
0a12b123c23e6f6g8h89i89_0d12678e12378f2378,e1e4,2,0,0
0a12b123c23e6f67g7h78i8_0c7d2378e23478f2389,e8e6,2,0,0
0a12b123c23e6f67g78h8i8_0c7d2378e23478f2389,h8e5,2,0,0
0a12b123c23e5f6g78h79i8_0a4b456c56d5g45h456i56,h4h7,2,0,0
0a12b123c23e5f6g78h79i8_0a4b456c56d5f5g456h456,h9g9,2,0,0
0a12b123c23e5f6g78h79i8_0a45b456c56f5g45h456i6,a5d5,2,0,0
0a12b123c23e5f6g78h79i8_0a45b456c56f5g456h456,g4g7,2,0,0
0a12b123c23e5f67g78h9i9_0a4b456c56d5f5g456h456,h6f6,2,0,0
0a12b123c23e5f67g78h9i8_0a45b456c56f5g456h456,h6f6,2,0,0
0a12b123c23e5f67g78h8i8_0a4b456c56d5g45h567i56,h7g6,2,0,0
0a12b123c23e5f67g78h7i8_0d2378e234678f2389,d8c7,2,0,0
0a12b123c23e5f678h79i8_0a45b456c56f5g456h456,h6f6,2,0,0
0a12b123c23d5e6f78h79i8_0a45b456c56e5f56g456h4,a1d4,2,0,0
0a12b123c23d5e5f6g8h79i8_0a5b456c456d4f5g456h46,a1c1,2,0,0
0a12b123c23d5e56f7g7h9i8_0a45b456c56f56g456h45,a4c4,2,0,0
0a12b123c23d5e56f7g7h7i8_0b456c456d4f56g456h45,b3d3,2,0,0
0a2b123c23d4e7f67g78h8i8_0c6d2368e23468f2389,d2d4,2,1,0
0a2b123c23d4e5f6g78h79i8_0b456c456d5f5g45h456i6,i8g6,2,1,0
0a2b123c23d4e5f6g78h79i8_0a4b456c56d5f5g45h456i6,i6g6,2,1,0
0a23b123c23e5f67g7h78i8_0d2378e234678f2389,e7c6,2,1,0
0a23b123c23e5f67g6h68i8_0c6d2368e23468f2389,d2d4,2,1,0
0a12b23c23d3f67g78h78i8_0d1278e234567f2389,d1d3,2,1,0
0a12b123d34f6g678h789_0b456c456d5e5f5g45h46i5,h7f5,2,1,0
0a12b123d34f56g678h89_0b456c456d5e45g45h46i6,d3d5,2,1,0
0a12b123d34e5f6g678h89_0b456c456d5f5g45h456i6,h6f4,2,1,0
0a12b123c23f67h789i89_0a4b456c56d5g45h456i56,a4c4,2,1,0
0a12b123c23f67g678i89_0a4b456c56d5f5g45h456i6,h5e5,2,1,0
0a12b123c23e5f6g78h89i8_0a45b456c56f5g456h567,h9f7,2,1,0
0a12b123c23e5f6g78h79i9_0a4b456c56d5f5g456h456,a2c4,2,1,1
0a12b123c23e5f6g78h79i8_0a4b456c56d5f5g45h456i6,a4c4,2,1,0
0a12b123c23e5f6g78h79i8_0a45b456c56f5g456h456,a1d4,2,1,0
0a12b123c23e5f67g7h78i8_0d2378e234678f2389,h7e7,2,1,0
0a12b123c23e5f67g78h7i8_0d2378e234678f2389,a1a3,2,1,1
0a12b123c23e5f67g78h7i8_0d2378e234678f2389,b3d4,2,1,0
0a12b123c23e57f67g78i8_0c6d2368e23468f2389,b3d4,2,1,0
0a2b123c23d4f6g78h789i8_0a4b456c56d5f5g45h456i6,h8e5,2,2,0
0a2b123c23d4e6f67g7h78i8_0d23578e23457f2389,e7c6,2,2,1
0a2b123c23d4e5f6g78h79i8_0a4b456c56d5f5g45h456i6,a4c4,2,2,0
0a12b23c23d3e5f6g78h79i8_0d1278e234678f2378,d1d3,2,2,0
0a12b123c23f6g78h789i8_0a4b456c56d5g45h456i56,c2d4,2,2,0
0a12b123c23e5f6g78h79i9_0a45b456c56f5g456h456,a5d5,2,2,1
0a123b2c2d4e46f67g7h78i8_0b3c36d23568e25f2489,a3b4,2,2,0
0a2b123c23d4e5f67g78h7i8_0d2378e234678f2389,d2d4,2,3,0
0a12b123d45f56g678h89_0b456c345d6e45f34h46i6,a2c2,2,3,0
0a12b123d34e5f6g78h79i8_0a4b456c56d5f5g456h456,a4c4,2,3,0
0a12b123c23f67g78h78i8_0d1278e234789f2389,d7e6,2,3,0
0a12b123c23e5f6g78h79i8_0a4b456c56d5f5g456h456,a2c4,2,3,0
0a12b123d34f56g67h789_0b456c456d5g345h456i6,g3g6,2,4,0
0a12b123c23e7f67g78h8i8_0c6d2368e23468f2389,a1d4,2,4,1
0a12b123c23e5f67g7h78i8_0d2378e234678f2389,a1a3,2,4,0
0a12b123d34f6g678h789_0b456c456d5e5f5g45h46i6,h7f5,2,5,0
0a12b123c23f67g78h78i8_0d2378e234678f2389,h7e7,2,5,1
5b2c4d4e345f45g6_5b34c23d3e67f6g7,b4b2,1,0,0
5b24c356d456e5_5c4d3e34f567g57,e3c3,1,0,0
5b24c34d45e567_5e234f456g56h5,f6f3,1,0,0
5b23c6d357e47f8_5b4c345d6f45g67,d3e5,1,0,0
5b23c34d234e4f5_5d56e5678f67g6,d5f5,1,0,0
5b23c34d234e4f4_5d6e5678f567g6,e7e4,1,0,0
5b23c345d456e5_5d3e24f456g457,g4d4,1,0,0
5b23c345d345e3_5e4568f456g78,e3d2,1,0,0
5b23c345d2345_5e456f4568g78,d5b5,1,0,0
5b23c234d345e6_5e457f456g56h5,e7f7,1,0,0
5b23c2345d34e4_5d5e56f56g67h57,b3e3,1,0,0
5b235c35d456e3_5e45f4567g567,e3d3,1,0,0
5b235c35d345e3_5e45f4567g578,d3d6,1,0,0
5b235c345d456_5e2345f456g47,e3d3,1,0,0
5b235c345d356_5d4e45f567g567,d3a3,1,0,0
5b235c345d345_5e456f567g578,c4e4,1,0,0
5b235c345d234_5e456f568g578,d2d5,1,0,0
5b235c234e6f56_5b4c6d23456e7f4,b4c5,1,0,0
5b235c234d5f78_5c56d6e47f6g57h5,f8f6,1,0,0
5b235c234d5f67_5c56d6e457f5g57,f7e6,1,0,0
5b235c234d5e6f6_5c6d6e457f58g57,c2c5,1,0,0
5b234d45e245f4_5d23e367f6g457,g5g3,1,0,0
5b234c5d456e56_5c34d3e4f567g57,d3b3,1,0,0
5b234c4d45e245_5d23e367f56g67,g6f4,1,0,0
5b234c456d56e5_5d34e24f456g57,g5e3,1,0,0
5b234c234e6f6g6_5c56d56e3457f4,f4d4,1,0,0
5b234c234e6f56_5c56d23456e7f4,d2e5,1,0,0
5b234c234d34e5_5d56e678f567g5,f7c4,1,0,0
5b234c234d345_5e56f56g567h57,b4e4,1,0,0
5a3b3c56d6e34f5g5_5b5c4d5e568f68g8,e8g7,1,0,0
5a3b3c4d4e67f456_5b24c3d357e45g6,e5e3,1,0,0
5a3b3c456f67g56_5b245c3d346e36,c6c3,1,0,0
5a3b3c345f67g56_5b45c2d2346e36,a3d3,1,0,0
5a3b3c345d4e4f5g5_5b2c2d235e236f7,f7c4,1,0,0
5a3b3c3456d56e5_5d4e4f4567g567,f4c4,1,0,0
5a3b3c2d2e45f5g4h5_5c35d36e36f47g5,e5e3,1,0,0
5a3b3c2d2e34f5g4h5_5b4c35d3e26f47g5,a3b2,1,0,0
5a3b34c235d45e5_5c4d6e6f456g567,d6e7,1,0,0
5a3b2c23d5e45g56_5b34c4d467e6f56,d7c5,1,0,0
5a3b2c235d5e5g56_5b34c4d467e67f6,e7e5,1,0,0
5a3b2c235d5e5f6g7_5b34c46d467e67,c6f6,1,0,0
5a3b2c235d5e4g56_5b345c46d4e6f56,e6e5,1,0,0
5a3b24c456e4f56_5b3c2d3457e35f7,e5c5,1,0,0
5a3b24c456e4f45_5b3c27d345e35f6,c7d7,1,0,0
5a3b24c356d45e5_5c4e34f567g567,g6d3,1,0,0
5a3b24c2345d34_5d5e56f4567g6h5,h5g5,1,0,0
5a3b235c345d56_5d34e45f567g57,b3e6,1,0,0
5a2c5d345e56f67_5b23c234f5g567,c2a2,1,0,0
5a2c4d45e45f7g67_5a3b35c125d23f5,d2b2,1,0,0
5a2c4d45e456f6g6_5a3b235c125d3f5,c2a2,1,0,0
5a2c456d67e48h4_5b26e3f345g45h5,f4h4,1,0,0
5a2c245d4e345f6_5b23c13d2356e6,b3e3,1,0,0
5a2c245d4e345f5_5b23c13d2356f6,f6e6,1,0,0
5a2c234d46e467_5b2345d235e5f5,e4b4,1,0,0
